Date,Revenue,Marketing_Spend,Customer_Count,Average_Order_Value,Customer_Satisfaction,Return_Rate
2023-01,150000,25000,1200,125,4.2,0.05
2023-02,165000,27000,1350,122,4.3,0.04
2023-03,180000,30000,1500,120,4.1,0.06
2023-04,195000,32000,1650,118,4.4,0.03
2023-05,210000,35000,1800,117,4.2,0.05
2023-06,225000,37000,1950,115,4.5,0.02
2023-07,240000,40000,2100,114,4.3,0.04
2023-08,255000,42000,2250,113,4.4,0.03
2023-09,270000,45000,2400,112,4.2,0.05
2023-10,285000,47000,2550,112,4.6,0.02
2023-11,300000,50000,2700,111,4.5,0.03
2023-12,315000,52000,2850,110,4.4,0.04
